Subj	Effective	Easiest	Which_Tech
1	NA	NA	NA
2	NA	NA	NA
3	NA	NA	NA
4	CFT	CFT	CFT
5	CFT	TD	CFT
6	CFT	TD	TD
7	Rem	CFT	CFT
8	TD	TD	TD
9	TD	TD	TD
10	TD	CFT	None
11	TD	TD	TD
12	TD	CFT	None
13	TD	TD	TD
14	CFT	CFT	CFT
15	CFT	CFT	CFT
16	TD	TD	TD
17	TD	TD	TD
18	CFT	CFT	CFT
20	TD	CFT	CFT
21	TD	TD	TD
22	Rem	TD	TD
23	TD	CFT	None
24	TD	CFT	TD
25	TD	TD	TD
26	CFT	CFT	CFT
27	TD	CFT	TD
29	TD	TD	TD
30	Rem	TD	TD
31	TD	TD	TD
32	Rem	TD	None
33	TD	CFT	TD
34	TD	TD	TD
35	TD	CFT	TD
36	TD	TD	TD
37	TD	CFT	TD
38	TD	CFT	TD
39	TD	TD	TD
40	TD	TD	None
41	CFT	CFT	None
42	TD	TD	TD
43	TD	CFT	CFT
44	TD	TD	TD
45	TD	CFT	None
46	TD	TD	TD
48	TD	TD	TD
49	Rem	CFT	CFT
50	TD	TD	TD
51	CFT	CFT	CFT
52	TD	TD	TD
53	TD	CFT	TD
54	TD	CFT	TD
55	TD	TD	TD
56	TD	CFT	TD
57	CFT	CFT	CFT
